Message 1: 499.56  -> Average: 499.56
Message 2: 214.04  -> Average: 356.80
Message 3: 775.47  -> Average: 496.36
Message 4: 221.17  -> Average: 427.56
Message 5: 510.06  -> Average: 444.06
Message 6: 718.64  -> Average: 489.82
Message 7: 379.28  -> Average: 474.03
I (11256) PRIORITY_GUARDIAN: DISTRESS RX=10717 ms | ACK SENT=10717 ms
Message 8: 880.35  -> Average: 524.82
Message 9: 896.85  -> Average: 566.16
Message 10: 433.81  -> Average: 552.92
Message 11: 896.65  -> Average: 592.63
Message 12: 276.16  -> Average: 598.84
Message 13: 918.96  -> Average: 613.19
Message 14: 967.03  -> Average: 687.78
Message 15: 313.75  -> Average: 668.15
Message 16: 158.75  -> Average: 612.16
Message 17: 648.81  -> Average: 639.11
Message 18: 909.76  -> Average: 642.05
Message 19: 198.56  -> Average: 572.22
Message 20: 114.43  -> Average: 540.29
I (23845) PRIORITY_GUARDIAN: DISTRESS RX=23307 ms | ACK SENT=23307 ms
Message 21: 173.04  -> Average: 467.92
Message 22: 855.97  -> Average: 525.91
Message 23: 877.04  -> Average: 521.71
Message 24: 353.41  -> Average: 460.35
Message 25: 569.29  -> Average: 485.91
Message 26: 281.59  -> Average: 498.19
Message 27: 260.24  -> Average: 459.33
Message 28: 343.68  -> Average: 402.73
Message 29: 711.68  -> Average: 454.04
Message 30: 341.25  -> Average: 476.72
Message 31: 227.28  -> Average: 482.14
Message 32: 667.76  -> Average: 463.32
Message 33: 556.77  -> Average: 431.30
Message 34: 788.07  -> Average: 474.76
Message 35: 975.63  -> Average: 515.40
Message 36: 741.83  -> Average: 561.42
Message 37: 948.29  -> Average: 630.22
Message 38: 475.39  -> Average: 643.40
Message 39: 285.07  -> Average: 600.73
Message 40: 489.95  -> Average: 615.60
Message 41: 437.76  -> Average: 636.65
Message 42: 210.14  -> Average: 590.89
Message 43: 875.34  -> Average: 622.75
Message 44: 860.71  -> Average: 630.01
Message 45: 492.21  -> Average: 581.67
Message 46: 632.48  -> Average: 570.73
Message 47: 953.57  -> Average: 571.26
Message 48: 531.68  -> Average: 576.89
Message 49: 604.45  -> Average: 608.83
Message 50: 324.05  -> Average: 592.24
Message 51: 243.19  -> Average: 572.78
Message 52: 754.76  -> Average: 627.24
Message 53: 221.07  -> Average: 561.82
Message 54: 641.42  -> Average: 539.89
Message 55: 998.92  -> Average: 590.56
Message 56: 153.19  -> Average: 542.63
Message 57: 567.92  -> Average: 504.07
Message 58: 448.01  -> Average: 495.70
Message 59: 986.96  -> Average: 533.95
Message 60: 466.93  -> Average: 548.24
Message 61: 599.23  -> Average: 583.84
Message 62: 198.14  -> Average: 528.18
Message 63: 989.17  -> Average: 604.99
Message 64: 269.78  -> Average: 567.83
Message 65: 958.79  -> Average: 563.81
Message 66: 418.79  -> Average: 590.37
Message 67: 485.31  -> Average: 582.11
Message 68: 970.61  -> Average: 634.37
Message 69: 441.18  -> Average: 579.79
I (73174) PRIORITY_GUARDIAN: DISTRESS RX=72637 ms | ACK SENT=72637 ms
Message 70: 608.23  -> Average: 593.92
Message 71: 877.14  -> Average: 621.71
Message 72: 743.83  -> Average: 676.28
Message 73: 613.53  -> Average: 638.72
Message 74: 790.19  -> Average: 690.76
Message 75: 479.37  -> Average: 642.82
Message 76: 805.18  -> Average: 681.46
Message 77: 526.87  -> Average: 685.61
